ID,pregunta,respuesta,intencion,entidades,referencias
11,Qué es el cáncer de pulmón microcítico,"También conocido como cáncer de pulmón de células pequeñas.Representa alrededor del 10-15% de todos los casos de cáncer de pulmón. Como su nombre indica, en este tipo de cáncer las células afectadas tienen un tamaño pequeño al microscopio, soliendo ser células nerviosas o productoras de hormonas. Es habitual que se localice en la zona central de los pulmones (pudiendo afectar a los vasos u órganos del tórax), y es común que tenga un crecimiento rápid",informacion del cáncer del pulmón,microcítico,https://www.cancer.gov/types/lung/patient/small-cell-lung-treatment-pdq|https://www.cancer.org/cancer/lung-cancer/about/what-is.html
12,Existen otros tipos de tumores de pulmón,"Además de los tipos principales de cáncer de pulmón, puede aparecer otro tipo de tumores en los pulmones. como los tumores carcinoides de pulmón, o otros tiposde cáncer que se expanden hasta los pulmones",informacion del cáncer del pulmón,tumores,https://www.cancer.org/cancer/lung-cancer/about/types-of-lung-cancer.html|https://www.cancer.gov/types/lung
13,Qué es un tumor carcinoide,"Un tumor carcinoide pulmonar es un tipo de tumor canceroso que se origina en las células neuroendocrinas de los pulmones. Las células neuroendocrinas ayudan a regular muchas de las funciones del cuerpo, como el transporte de los alimentos a través del tracto digestivo y del aire a través de los pulmones.",informacion del cáncer del pulmón,carcinoide,https://www.cancer.gov/types/lung/patient/lung-carcinoid-treatment-pdq|https://www.cancer.org/cancer/lung-carcinoid-tumor.html
14,Cómo crece un tumor carcinoide,Los tumores carcinoides pulmonares típicos (el tipo más común) crecen lentamente y rara vez se propagan (hacen metástasis) a otras partes del cuerpo. Los tumores carcinoides pulmonares atípicos tienden a crecer más rápido y tienen más probabilidades de propagarse a otros órganos.,informacion del cáncer del pulmón,tumor|carcinoide,https://www.cancer.org/cancer/lung-carcinoid-tumor/about.html|https://www.mayoclinic.org/diseases-conditions/carcinoid-tumors/symptoms-causes/syc-20351039
15,Qué es un tumor carcinoide tipico,Los tumores carcinoides típicos representan hasta el 90 % de los tumores carcinoides pulmonares. Son de crecimiento lento y no suelen hacer metástasis en otras partes del cuerpo. Los tumores carcinoides típicos pueden ser carcinoides centrales (ubicados en las vías respiratorias grandes de los pulmones) o carcinoides periféricos (que se encuentran alrededor de los bordes de los pulmones y las vías respiratorias pequeñas).,informacion del cáncer del pulmón,tumor|tipico,https://www.cancer.gov/types/lung/patient/lung-carcinoid-treatment-pdq|https://my.clevelandclinic.org/health/diseases/22891-pulmonary-carcinoid-tumor
16,Qué factores generan el cáncer de pulmón,"Los principales factores de riesgo para el cáncer de pulmón son fumar tabaco, la exposición al radón y al asbesto, y la contaminación del aire.",informacion del cáncer del pulmón,factor|cáncer,https://www.who.int/news-room/fact-sheets/detail/cancer|https://www.cancer.org/cancer/lung-cancer/causes-risks-prevention/risk-factors.html
17,Porqué fumar es un factor que genera cáncer de pulmón,"Fumar es, por mucho, el mayor factor de riesgo para cáncer pulmonar. En el 2004, existen más de 60 moléculas en el humo de cigarro que se piensa son carcinogénicas para humanos o animales de laboratorio.",informacion del cáncer del pulmón,fumar,https://www.cdc.gov/cancer/lung/basic_info/risk_factors.htm|https://www.cancer.org/cancer/lung-cancer/causes-risks-prevention/risk-factors.html
18,Qué es el radon,"El radón es un gas radiactivo que no tiene color ni olor. Se forma naturalmente a raíz de la descomposición de elementos radiactivos (como el uranio), los cuales están presentes en distintas cantidades en el suelo y las rocas alrededor del mundo. El gas radón en el suelo y en las rocas puede desplazarse al aire, así como a depósitos de agua subterránea o superficial.",informacion del cáncer del pulmón,radon,https://www.epa.gov/radon/health-risk-radon|https://www.who.int/news-room/fact-sheets/detail/radon-and-health
19,Porqué el radon es un factor que genera cáncer de pulmón,"La exposición al radón por un largo periodo de tiempo puede conducir a cáncer de pulmón. El gas radón en el aire se descompone en pequeños elementos radiactivos (progenie del radón) que pueden inhalarse y alojarse en el revestimiento de los pulmones, donde pueden emitir radiación. Esta radiación puede dañar las células de los pulmones y eventualmente ocasionar cáncer de pulmón.",informacion del cáncer del pulmón,radon|factor,https://www.who.int/news-room/fact-sheets/detail/radon-and-health|https://www.cdc.gov/radon/healthrisks.html
20,Qué es el asbesto,"El asbesto o amianto es el nombre de un grupo de minerales fibrosos que están presentes en la naturaleza y son resistentes al calor y la corrosión. Debido a estas propiedades, el asbesto se ha usado en productos comerciales, como materiales a prueba de fuego y de aislamiento, frenos de automóviles y materiales para paneles de yeso.",informacion del cáncer del pulmón,asbsesto,https://www.cancer.gov/about-cancer/causes-prevention/risk/substances/asbestos| https://www.who.int/news-room/fact-sheets/detail/asbestos-elimination-of-asbestos-related-diseases
21,Porqué el asbesto es un factor que genera cáncer de pulmón,"La inhalación de las fibras de asbesto se ha asociado a un aumento en el riesgo del cáncer de pulmón en muchos estudios con trabajadores expuestos al asbesto. Este riesgo aumentado se ha visto con todas las formas del asbesto (no hay ningún tipo “seguro” de asbesto en relación al riesgo de cáncer de pulmón). Por lo general, entre mayor sea la exposición al asbesto, mayor es el riesgo del cáncer de pulmón. La mayoría de los casos de cáncer de pulmón entre este grupo de personas ocurre al menos 15 años después de la primera exposición al asbesto.",informacion del cáncer del pulmón,asbesto|factor,https://www.cancer.org/cancer/risk-prevention/chemicals/asbestos.html|https://doi.org/10.1016/j.trsl.2009.01.004
22,Porqué la contaminacion del aire genera cáncer de pulmón,"El fenómeno de la industrialización ha precisado de un mayor empleo de metales y esto provoca su creciente dispersión en el aire, lo que se torna potencialmente peligroso para la salud humana, por lo que la población está expuesta a una gran cantidad y variedad de fuentes emisoras de gases a la atmósfera, que producen una mezcla de los contaminantes, de manera que se potencian sus efectos en la salud. en especial el cáncer de pulmón",informacion del cáncer del pulmón,contaminacion,https://www.iarc.who.int/wp-content/uploads/2018/07/pr221_E.pdf |https://doi.org/10.1289/ehp.1408092
23,Qué trabajos pueden influir en el desarrollo del cáncer de pulmón,"Son trabajos relacionados a la industria astillera, textil, minera o hidrocarburifica ya que exponen a los trabajadores a elementos como asbesto o arsenico que contribuyen al desarrollo del cáncer de pulmón",informacion del cáncer del pulmón,trabajo cáncer,https://publications.iarc.fr/120|https://www.cdc.gov/niosh/topics/cancer/default.html
24,Qué es un fumador pasivo,"Un fumador pasivo es la persona que aspira el humo del tabaco involuntariamente. Es decir, son personas que se encuentran expuestas habitualmente al humo del tabaco. En el caso de que una embarazada fume, también se considera fumador pasivo al feto, ya que los componentes del humo del tabaco pueden traspasar la barrera placentaria y llegar a este.",informacion del cáncer del pulmón,fumador|pasivo,https://www.cancer.gov/about-cancer/causes-prevention/risk/tobacco/second-hand-smoke|https://doi.org/10.1016/S0140-6736(10)61388-8
25,Consejos para mantener saludables a los pulmones,"Para mantener los pulmones saludables, puedes: Evitar el tabaco y el humo de segunda mano, reducir la exposición a la contaminación del aire, hacer ejercicio regularmente, mantener un peso saludable, Vacunarte contra la gripe, la neumonía y otras enfermedades, realizar chequeos médicos periódicos, comer una dieta saludable, y usar equpo de proteccion si se trabaja en la industria minera textil y otras",informacion del cáncer del pulmón,saludables,https://www.lung.org/clean-air/protecting-your-lungs|https://medlineplus.gov/howtokeepyourlungshealthy.html
26,Como prevenir el cáncer de pulmón,"Para prevenir el cáncer de pulmón, puedes: Evitar el tabaco y el humo de segunda mano, reducir la exposición a la contaminación del aire, hacer ejercicio regularmente, mantener un peso saludable, realizar chequeos médicos periódicos, comer una dieta saludable, y usar equpo de proteccion si se trabaja en la industria minera textil y otras",informacion del cáncer del pulmón,prevenir,https://www.cdc.gov/cancer/lung/basic_info/prevention.html|https://doi.org/10.3322/caac.21286
27,Cúales son los sintomas del cáncer de pulmón,"El cáncer de pulmón puede manifestarse con diversos síntomas, que en algunos casos afectan el sistema respiratorio y en otros pueden deberse a metástasis en distintas partes del cuerpo. Algunas personas solo experimentan malestar general, y en la mayoría de los casos, la enfermedad no presenta síntomas hasta que está avanzada. Entre los signos más comunes se incluyen tos persistente o que empeora, dolor en el pecho, dificultad para respirar, sibilancias, tos con sangre, fatiga constante y pérdida de peso sin causa aparente. Además, pueden presentarse crisis recurrentes de neumonía e inflamación o agrandamiento de los ganglios en el área entre los pulmones. Dado que estos síntomas también pueden estar relacionados con otras enfermedades, es fundamental consultar a un médico para determinar la causa.",sintomas del cáncer del pulmón,síntomas,https://www.cancer.org/cancer/types/lung-cancer/detection-diagnosis-staging/signs-symptoms.html|https://www.cancer.gov/types/lung/patient/lung-symptoms-pdq
28,Qué es sindrome de Horner,"El síndrome de Horner es una afección que afecta la cara y el ojo de un lado del cuerpo. La causa es la interrupción de una vía nerviosa desde el cerebro hasta la cabeza y el cuello. Normalmente, los signos y síntomas del síndrome de Horner incluyen la contracción de la pupila, la caída del párpado y la disminución de la sudoración del lado afectado de la cara. El síndrome de Horner puede ser consecuencia de otro problema médico, como un accidente cerebrovascular, un tumor o una lesión de la médula espinal. En algunos casos, no se puede encontrar la causa subyacente. No hay un tratamiento específico para el síndrome de Horner, pero el tratamiento de la causa subyacente puede restaurar la función nerviosa.",sintomas del cáncer del pulmón,Horber,https://www.mayoclinic.org/diseases-conditions/horner-syndrome|https://rarediseases.org/rare-diseases/horners-syndrome/
29,Qué son los tumores pancoast,"Un tumor de Pancoast es un tipo poco común de cáncer de pulmón . Comienza en la parte superior del pulmón (el ápice), por encima de la primera costilla. A diferencia de la mayoría de los cánceres de pulmón, los tumores de Pancoast no suelen causar tos ni dolor en el pecho . En cambio, las personas con tumores de Pancoast casi siempre presentan dolor en el hombro acompañado de debilidad en el brazo y otros síntomas. Los proveedores de atención médica denominan a este conjunto de síntomas “síndrome de Pancoast”.",sintomas del cáncer del pulmón,pancoast,https://www.cancer.org/cancer/types/lung-cancer/about/types-of-non-small-cell.html|https://doi.org/10.1016/j.thorsurg.2019.09.002
30,Qué es el sindrome de la vena superior,"La vena cava superior es una vena grande que lleva sangre desde la cabeza y los brazos hasta el corazón. Esta vena pasa cerca de la parte superior del pulmón derecho y de los ganglios linfáticos dentro del pecho. Los tumores en esta área pueden hacer presión en la vena cava superior, lo que puede causar que la sangre se retenga en las venas. Esto puede causar hinchazón en el rostro, el cuello, los brazos y la parte superior del pecho (algunas veces con una coloración rojo azulada de la piel). También puede causar dolores de cabeza, mareos y, si afecta el cerebro, alteraciones del estado de conciencia. Aunque el síndrome de la vena cava superior puede desarrollarse gradualmente con el pasar del tiempo, en algunos casos puede poner en peligro la vida, y requerir tratamiento inmediato.",sintomas del cáncer del pulmón,vena|superior,https://doi.org/10.1056/NEJMcp067190|https://www.cancer.org/cancer/types/lung-cancer/detection-diagnosis-staging/signs-symptoms.html
31,Qué son los síndromes paraneoplásicos,"Algunos cánceres de pulmón producen sustancias similares a hormonas que ingresan en el torrente sanguíneo y causan problemas en tejidos y órganos distantes, aunque el cáncer no se haya propagado a esos lugares. Estos problemas se llaman síndromes paraneoplásicos. Algunas veces estos síndromes pueden ser los primeros síntomas de un cáncer de pulmón. Debido a que los síntomas afectan a otros órganos, primero se puede sospechar que la causa de los síntomas son una enfermedad distinta al cáncer de pulmón.",sintomas del cáncer del pulmón,paraneoplasicos,"https://www.cancer.gov/about-cancer/treatment/side-effects/paraneoplastic-syndromes|https://doi.org/10.1056/NEJMra023009
"
32,Qué es el síndrome de secreción inadecuada de hormona antidiurética,"En esta enfermedad, las células cancerosas producen ADH, una hormona que ocasiona que los riñones retengan agua. Esto reduce los niveles de sal en la sangre. Los síntomas del SIADH pueden incluir cansancio, pérdida del apetito, debilidad o calambres musculares, náusea, vómito, nerviosismo y confusión. Si no reciben tratamiento, los casos graves pueden conducir a convulsiones y coma.",sintomas del cáncer del pulmón,antidiuretica,"https://doi.org/10.1016/j.beem.2010.08.004|https://www.cancer.gov/about-cancer/treatment/side-effects/paraneoplastic-syndromes
"
33,Qué es el Síndrome de Cushing,"En esta afección, las células cancerosas del pulmón pueden producir ACTH, una hormona que causa que las glándulas suprarrenales produzcan cortisol. Esto puede causar síntomas como aumento de peso, moretones que ocurren fácilmente, debilidad, somnolencia y retención de líquido. El síndrome de Cushing también puede causar hipertensión arterial, altos niveles de azúcar en la sangre, o incluso diabetes.",sintomas del cáncer del pulmón,cushing,https://doi.org/10.5694/j.1326-5377.2005.tb07094.x|https://www.cancer.gov/about-cancer/treatment/side-effects/paraneoplastic-syndromes
34,Qué pasa si tengo una tos constante,"La tos constante es un sintoma del cáncer de pulmón que es acmpañado por otros sintomas como dolor de pecho, Dificultad para respirar, sibilancia, ronquera, mucosidad o flema de color sangre o óxido, infecciones respiratorias recurrentes, como bronquitis o neumonía,pérdida de peso inexplicable si presenta tos constante y alguno de los sintomas mencionados anteriormente se recomienda que vaya al medico",sintomas del cáncer del pulmón,tos|constante,https://www.cancer.org/cancer/types/lung-cancer/detection-diagnosis-staging/signs-symptoms.html
35,Qué pasa si toso con sangre,"La tos con sangre es un sintoma del cáncer de pulmón que es acmpañado por otros sintomas como dolor de pecho, Dificultad para respirar, sibilancia, ronquera, infecciones respiratorias recurrentes, como bronquitis o neumonía,pérdida de peso inexplicable si presenta tos con sangre y alguno de los sintomas mencionados anteriormente se recomienda que vaya al medico",sintomas del cáncer del pulmón,sangre,https://www.cancer.gov/types/lung/patient/lung-symptoms-pdq|https://my.clevelandclinic.org/health/diseases/15564-coughing-up-blood-hemoptysis
36,Me duele el pecho cuando respiro profundamente que indica esto,"El dolor de pecho es un sintoma del cáncer de pulmón que es acmpañado por otros sintomas como tos constante, tos con sangre, Dificultad para respirar, sibilancia, ronquera, infecciones respiratorias recurrentes, como bronquitis o neumonía,pérdida de peso inexplicable si presenta dolor de pecho y alguno de los sintomas mencionados anteriormente se recomienda que vaya al medico",sintomas del cáncer del pulmón,pecho,https://www.cancer.org/cancer/types/lung-cancer/detection-diagnosis-staging/signs-symptoms.html
37,Qué pasa si ultimamente empece a roncar cuando antes no lo hacia,"El roncar puede ser un sintoma del cáncer de pulmón que es acompañado por otros sintomas como tos constante,tos con sangre, dolor de pecho, dificultad para respirar, sibilancia, ronquera, infecciones respiratorias recurrentes, como bronquitis o neumonía,pérdida de peso inexplicable si presenta tos con sangre y alguno de los sintomas mencionados anteriormente se recomienda que vaya al medico",sintomas del cáncer del pulmón,roncar,https://www.cancer.org/cancer/types/lung-cancer/detection-diagnosis-staging/signs-symptoms.html|https://www.cancer.gov/types/lung/patient/lung-symptoms-pdq
38,Qué pasa si me dificulta respirar ultimamente,"La dificultad para respirar es un sintoma del cáncer de pulmón que es acompañado por otros sintomas como tos constante, tos con sangre, dolor de pecho, sibilancia, ronquera, infecciones respiratorias recurrentes, como bronquitis o neumonía,pérdida de peso inexplicable si presenta tos con sangre y alguno de los sintomas mencionados anteriormente se recomienda que vaya al medico",sintomas del cáncer del pulmón,respirar,https://www.cancer.org/cancer/types/lung-cancer/detection-diagnosis-staging/signs-symptoms.html
39,Hace tiempo tuve neumonia y ultimamente esta volviendo que indica esto,"Si la neumonia volvio y es constante indica un sintoma del cáncer de pulmón que es acompañado por otros sintomas como dolor de pecho, dificultad para respirar, sibilancia, ronquera, ,pérdida de peso inexplicable si presenta neumonia se recomienda que vaya al medico",sintomas del cáncer del pulmón,neumonia,https://www.cancer.gov/types/lung/patient/lung-symptoms-pdq
40,Hace tiempo tuve bronquitis y ultimamente esta volviendo que indica esto,"Si la bronquitis volvio y es constante indica un sintoma del cáncer de pulmón que es acompañado por otros sintomas como dolor de pecho, dificultad para respirar, sibilancia, ronquera, ,pérdida de peso inexplicable si presenta bronquitis se recomienda que vaya al medico",sintomas del cáncer del pulmón,bronquitis,"https://www.cancer.org/cancer/types/lung-cancer/detection-diagnosis-staging/signs-symptoms.html Cleveland Clinic. (2023). Bronchitis. https://my.clevelandclinic.org/health/diseases/4011-bronchitis
"
41,Mis pupilas estan raras ultimamente que indica esto,"Puede ser un sintoma de los tumores Pancoast que pueden afectar ciertos nervios de los ojos y parte del rostro, causando un grupo de síntomas llamados síndrome de Horner,entre ellos son caída o debilidad de un párpado superior, una pupila (la parte oscura en el centro del ojo) más pequeña en el mismo ojo,poca o ninguna transpiración en el mismo lado de la cara, se recomienda  ir al medico",sintomas del cáncer del pulmón,pupilas,https://www.mayoclinic.org/diseases-conditions/horner-syndrome|https://doi.org/10.1016/j.thorsurg.2019.09.002
42,Mis pupilas reducieron su tamaño es normal que pase esto,"Puede ser un sintoma de los tumores Pancoast que pueden afectar ciertos nervios de los ojos y parte del rostro, causando un grupo de síntomas llamados síndrome de Horner,entre ellos son caída o debilidad de un párpado superior, una pupila (la parte oscura en el centro del ojo) más pequeña en el mismo ojo,poca o ninguna transpiración en el mismo lado de la cara, se recomienda  ir al medico",sintomas del cáncer del pulmón,reducieron,https://rarediseases.org/rare-diseases/horners-syndrome/|https://www.cancer.org/cancer/types/lung-cancer/about/types-of-non-small-cell.html
43,Qué pasa si ultimamente tengo hinchazon en el rostro y cuello,Pueder ser sintomas del síndrome de la vena cava superior por lo cual se recomienda ir al medico,sintomas del cáncer del pulmón,hinchazon,https://doi.org/10.1056/NEJMcp067190|https://www.cancer.org/cancer/types/lung-cancer/detection-diagnosis-staging/signs-symptoms.html
44,Qué pasa si aparte de la hinchazon sufro dolores de cabeza y mareos,Pueder ser sintomas del síndrome de la vena cava superior por lo cual se recomienda ir al medico,sintomas del cáncer del pulmón,dolores|cabeza,https://www.cancer.org/cancer/types/lung-cancer/detection-diagnosis-staging/signs-symptoms.html|https://www.cancer.gov/types/lung/patient/lung-symptoms-pdq
45,Qué pasa si sufro vomitos junto a falta de apetito,"Son sintomas de síndrome de secreción inadecuada de hormona antidiurética, tambien puede indicar otro tipo de enfermedades alejas del cáncer de pulmón por lo cual es recomendable ir al medico para que determine la enfermedad que sufre con mayor precision",sintomas del cáncer del pulmón,vomitos,"https://doi.org/10.1016/j.beem.2010.08.004|https://www.cancer.gov/about-cancer/treatment/side-effects/paraneoplastic-syndromes
"
46,Qué es la disfaiga,"La disfagia es un término médico que hace referencia a la dificultad para tragar. Esta afección puede ser dolorosa. En algunos casos, la deglución es imposible.",sintomas del cáncer del pulmón,disfaiga,https://www.mayoclinic.org/diseases-conditions/dysphagia
47,Qué es una metastasis,Son tumores cancerosos que comienzan en alguna parte del cuerpo y se diseminan a los pulmones. Los tumores metastásicos en los pulmones son cánceres que se desarrollan en otros lugares del cuerpo (u otras partes de los pulmones). Luego se propagan a través del torrente sanguíneo o el sistema linfático a los pulmones. Es diferente al cáncer pulmonar que comienza en los pulmones. Asi mismo un cáncer de pulmón puede hacer metastasis a otros organos,sintomas del cáncer del pulmón,metastasis,https://www.cancer.gov/types/metastatic-cancer|https://doi.org/10.1038/nrc1098
48,Como se diagnostica el cáncer de pulmón,"Se diagnostica por radiografias de torax, tomografias computarizadas, examen citopatologico biopsia, citologia y muchos metodos mas",sintomas del cáncer del pulmón,diagnostico,"https://www.cancer.gov/types/lung/patient/lung-screening-diagnosis-pdq|https://doi.org/10.6004/jnccn.2013.0076
"
49,Qué es una radiografia en el torax,"Radiografía de las estructuras y los órganos en el interior del tórax. Los rayos X son un tipo de radiación de alta energía que puede atravesar el cuerpo para producir imágenes de las áreas internas y plasmarlas en una película o registrarlas en una computadora. Este tipo de radiografía sirve para diagnosticar lesiones o enfermedades del tórax. También se llama placa de tórax, radiografía torácica y Rx de tórax.",diagnostico del cáncer del pulmón,radriografia,https://www.radiologyinfo.org/en/info/chestrad
50,Qué es un TC,"Una tomografía computarizada (TC) usa rayos X para producir imágenes transversales detalladas de su cuerpo. En lugar de tomar 1 o 2 imágenes, como una radiografía común, una tomografía computarizada toma muchas imágenes y una computadora luego las combina para mostrar una sección de la parte de su cuerpo que se está estudiando. Es más probable que los tumores de pulmón se detecten en tomografías computarizadas (TC) que en radiografías de pecho convencionales. Las tomografías también pueden mostrar el tamaño, la forma y la posición de cualquier tumor en el pulmón, y puede ayudar a encontrar ganglios linfáticos agrandados que pudieran contener cáncer que se haya propagado. Este estudio también se puede usar para encontrar masas en las glándulas suprarrenales, el hígado, el cerebro, y en otros órganos que pueden deberse a la propagación del cáncer de pulmón.",diagnostico del cáncer del pulmón,TC,https://www.cancer.org/cancer/types/lung-cancer/detection-diagnosis-staging/how-diagnosed.html
51,Qué clase de tomografia detecta el cáncer de pulmón,Son la Tomografía computarizada y la Tomografía por emisión de positrones (PET),diagnostico del cáncer del pulmón,tomografia,https://www.cancer.org/cancer/lung-cancer/detection-diagnosis-staging/how-diagnosed/ct-scan.html|https://www.cancer.gov/about-cancer/diagnosis-staging/pet-ct-scan
52,Qué es el examen citopatológico del líquido pleural,"Un examen citológico se usa para buscar células cancerosas y precancerosas. También se puede hacer para otras afecciones, como identificar células de lupus eritematoso sistémico. Ocasionalmente, también se pueden observar microorganismos en la citología, pero en general, se identifican mejor con un cultivo. Su médico puede ordenar este examen si usted tiene signos de acumulación de líquido en el espacio pleural. Esta afección es llamada derrame pleural. El examen también se puede hacer si tiene signos de cáncer pulmonar.",diagnostico del cáncer del pulmón,citopato,https://www.cancer.gov/publications/dictionaries/cancer-terms/def/pleural-fluid-cytology|https://doi.org/10.21037/tlcr-20-721
53,Qué es la biopsia transtorácica guiada por broncoscopia,"La biopsia transtorácica con aguja suele realizarla un radiólogo intervencionista, a menudo ante la presencia de un citopatólogo. En condiciones estériles, anestesia local y guía con técnicas de imagen –(en general TC, pero a veces ecografía para las lesiones pleurales) se introduce una aguja para biopsia hasta la lesión sospechosa mientras el paciente contiene su respiración. Las lesiones se aspiran con o sin solución fisiológica. Se recolectan 2 o 3 muestras para el procesamiento citológico y bacteriológico. Después del procedimiento, se utilizan fluoroscopia o radiografías de tórax para descartar neumotórax y hemorragia.",diagnostico del cáncer del pulmón,broncospia,https://doi.org/10.1378/chest.12-2353|https://www.thoracic.org/patients/patient-resources/resources/transthoracic-needle-biopsy.pdf
54,Qué es la biopsia quirúrgica de pulmón,"Extracción de un pedazo pequeño de tejido del pulmón para que un patólogo lo observe y determine si hay cáncer u otras enfermedades. El tejido puede extraerse con un broncoscopio (un instrumento delgado, con luz, con forma de tubo, que se inserta a través de la tráquea hasta el pulmón). También puede extraerse mediante una aguja fina insertada a través de la pared torácica, por medio de cirugía guiada por una cámara de video insertada a través de la pared torácica o por una biopsia abierta. En una biopsia abierta, un médico hace una incisión entre las costillas, extrae una muestra de tejido del pulmón y cierra la herida con puntos.",diagnostico del cáncer del pulmón,quirurgica,https://www.cancer.gov/publications/dictionaries/cancer-terms/def/lung-biopsy
55,Qué es la citologia,Es el estudio de las células mediante un microscopio. También se llama análisis citológico y prueba citológica.,diagnostico del cáncer del pulmón,citologia,https://www.cancer.org/cancer/cervical-cancer/detection-diagnosis-staging/cytology.html|https://doi.org/10.1016/C2018-0-02076-6
56,Qué es la biopsia percutánea,Una biopsia percutánea es un procedimiento que consiste en extraer una pequeña muestra de tejido para analizarla. Se realiza con una aguja especial que se introduce a través de la piel.,diagnostico del cáncer del pulmón,percutane,https://my.clevelandclinic.org/health/treatments/15240-percutaneous-biopsy|https://doi.org/10.1055/s-0039-1697631
